,cari,pop_scale
0,1,100038.83495145632
1,1,100038.83495145632
2,1,100038.83495145632
3,1,100038.83495145632
4,1,100038.83495145632
5,1,100038.83495145632
6,1,100038.83495145632
7,1,100038.83495145632
8,1,100038.83495145632
9,1,100038.83495145632
10,1,100038.83495145632
11,1,100038.83495145632
12,1,100038.83495145632
13,1,100038.83495145632
14,1,100038.83495145632
15,1,100038.83495145632
16,1,100038.83495145632
17,1,100038.83495145632
18,1,100038.83495145632
19,1,100038.83495145632
20,1,100038.83495145632
21,1,100038.83495145632
22,1,100038.83495145632
23,1,100038.83495145632
24,1,100038.83495145632
25,1,100038.83495145632
26,1,100038.83495145632
27,1,100038.83495145632
28,1,100038.83495145632
29,1,100038.83495145632
30,1,100038.83495145632
31,1,100038.83495145632
32,1,100038.83495145632
33,1,100038.83495145632
34,1,100038.83495145632
35,1,100038.83495145632
36,1,100038.83495145632
37,1,100038.83495145632
38,1,100038.83495145632
39,1,100038.83495145632
40,1,100038.83495145632
41,1,100038.83495145632
42,1,100038.83495145632
43,1,100038.83495145632
44,1,100038.83495145632
45,1,100038.83495145632
46,1,100038.83495145632
47,1,100038.83495145632
48,1,100038.83495145632
49,1,100038.83495145632
50,1,100038.83495145632
51,1,100038.83495145632
52,1,100038.83495145632
53,1,100038.83495145632
54,1,100038.83495145632
55,1,100038.83495145632
56,1,100038.83495145632
57,1,100038.83495145632
58,1,100038.83495145632
59,1,100038.83495145632
60,1,100038.83495145632
61,1,100038.83495145632
62,1,100038.83495145632
63,1,100038.83495145632
64,1,100038.83495145632
65,1,100038.83495145632
66,1,100038.83495145632
67,1,100038.83495145632
68,1,100038.83495145632
69,1,100038.83495145632
70,1,100038.83495145632
71,1,100038.83495145632
72,2,100038.83495145632
73,2,100038.83495145632
74,2,100038.83495145632
75,2,100038.83495145632
76,2,100038.83495145632
77,2,100038.83495145632
78,2,100038.83495145632
79,2,100038.83495145632
80,2,100038.83495145632
81,2,100038.83495145632
82,2,100038.83495145632
83,2,100038.83495145632
84,2,100038.83495145632
85,2,100038.83495145632
86,2,100038.83495145632
87,2,100038.83495145632
88,2,100038.83495145632
89,2,100038.83495145632
90,2,100038.83495145632
91,2,100038.83495145632
92,2,100038.83495145632
93,2,100038.83495145632
94,2,100038.83495145632
95,2,100038.83495145632
96,2,100038.83495145632
97,2,100038.83495145632
98,2,100038.83495145632
99,2,100038.83495145632
100,2,100038.83495145632
101,2,100038.83495145632
102,2,100038.83495145632
103,2,100038.83495145632
104,2,100038.83495145632
105,2,100038.83495145632
106,2,100038.83495145632
107,2,100038.83495145632
108,2,100038.83495145632
109,2,100038.83495145632
110,2,100038.83495145632
111,2,100038.83495145632
112,2,100038.83495145632
113,2,100038.83495145632
114,2,100038.83495145632
115,2,100038.83495145632
116,2,100038.83495145632
117,2,100038.83495145632
118,2,100038.83495145632
119,2,100038.83495145632
120,2,100038.83495145632
121,2,100038.83495145632
122,2,100038.83495145632
123,2,100038.83495145632
124,2,100038.83495145632
125,2,100038.83495145632
126,2,100038.83495145632
127,2,100038.83495145632
128,2,100038.83495145632
129,2,100038.83495145632
130,2,100038.83495145632
131,2,100038.83495145632
132,2,100038.83495145632
133,2,100038.83495145632
134,2,100038.83495145632
135,2,100038.83495145632
136,2,100038.83495145632
137,2,100038.83495145632
138,2,100038.83495145632
139,2,100038.83495145632
140,2,100038.83495145632
141,2,100038.83495145632
142,2,100038.83495145632
143,2,100038.83495145632
144,2,100038.83495145632
145,2,100038.83495145632
146,2,100038.83495145632
147,2,100038.83495145632
148,2,100038.83495145632
149,2,100038.83495145632
150,2,100038.83495145632
151,2,100038.83495145632
152,2,100038.83495145632
153,2,100038.83495145632
154,2,100038.83495145632
155,2,100038.83495145632
156,2,100038.83495145632
157,2,100038.83495145632
158,2,100038.83495145632
159,2,100038.83495145632
160,2,100038.83495145632
161,2,100038.83495145632
162,2,100038.83495145632
163,2,100038.83495145632
164,2,100038.83495145632
165,2,100038.83495145632
166,2,100038.83495145632
167,2,100038.83495145632
168,2,100038.83495145632
169,2,100038.83495145632
170,2,100038.83495145632
171,2,100038.83495145632
172,2,100038.83495145632
173,2,100038.83495145632
174,2,100038.83495145632
175,2,100038.83495145632
176,2,100038.83495145632
177,2,100038.83495145632
178,2,100038.83495145632
179,2,100038.83495145632
180,2,100038.83495145632
181,2,100038.83495145632
182,2,100038.83495145632
183,2,100038.83495145632
184,2,100038.83495145632
185,2,100038.83495145632
186,2,100038.83495145632
187,2,100038.83495145632
188,2,100038.83495145632
189,2,100038.83495145632
190,2,100038.83495145632
191,2,100038.83495145632
192,2,100038.83495145632
193,2,100038.83495145632
194,2,100038.83495145632
195,2,100038.83495145632
196,2,100038.83495145632
197,2,100038.83495145632
198,2,100038.83495145632
199,2,100038.83495145632
200,2,100038.83495145632
201,2,100038.83495145632
202,2,100038.83495145632
203,2,100038.83495145632
204,2,100038.83495145632
205,2,100038.83495145632
206,2,100038.83495145632
207,2,100038.83495145632
208,2,100038.83495145632
209,2,100038.83495145632
210,2,100038.83495145632
211,2,100038.83495145632
212,2,100038.83495145632
213,2,100038.83495145632
214,2,100038.83495145632
